EmployeeID,Year,Month,CostCenterID,JobGradeID,CostItemID,CostItem,BudgetCost
HGY20240001,2025,10,CC009,Q007,5,Quota TFR,172.5
HGY20240001,2025,10,CC009,Q007,6,Welfare & Benefit,69.0
HGY20240001,2025,10,CC009,Q007,7,Formazione & Sviluppo,34.5
HGY20240001,2025,11,CC009,Q007,1,Retribuzione Diretta,1950.0
HGY20240001,2025,11,CC009,Q007,2,Retribuzione Indiretta,300.0
HGY20240001,2025,11,CC009,Q007,3,Premi e Incentivi,150.0
HGY20240001,2025,11,CC009,Q007,4,Oneri Previdenziali,360.0
HGY20240001,2025,11,CC009,Q007,5,Quota TFR,150.0
HGY20240001,2025,11,CC009,Q007,6,Welfare & Benefit,60.0
HGY20240001,2025,11,CC009,Q007,7,Formazione & Sviluppo,30.0
HGY20240001,2025,12,CC009,Q007,1,Retribuzione Diretta,1950.0
HGY20240001,2025,12,CC009,Q007,2,Retribuzione Indiretta,300.0
HGY20240001,2025,12,CC009,Q007,3,Premi e Incentivi,150.0
HGY20240001,2025,12,CC009,Q007,4,Oneri Previdenziali,360.0
HGY20240001,2025,12,CC009,Q007,5,Quota TFR,150.0
HGY20240001,2025,12,CC009,Q007,6,Welfare & Benefit,60.0
HGY20240001,2025,12,CC009,Q007,7,Formazione & Sviluppo,30.0
HGY20240002,2024,1,CC003,Q009,1,Retribuzione Diretta,2974.4
HGY20240002,2024,1,CC003,Q009,2,Retribuzione Indiretta,457.6
HGY20240002,2024,1,CC003,Q009,3,Premi e Incentivi,228.8
HGY20240002,2024,1,CC003,Q009,4,Oneri Previdenziali,549.12
HGY20240002,2024,1,CC003,Q009,5,Quota TFR,228.8
HGY20240002,2024,1,CC003,Q009,6,Welfare & Benefit,91.52
HGY20240002,2024,1,CC003,Q009,7,Formazione & Sviluppo,45.76
HGY20240002,2024,2,CC003,Q009,1,Retribuzione Diretta,2839.2000000000003
HGY20240002,2024,2,CC003,Q009,2,Retribuzione Indiretta,436.8
HGY20240002,2024,2,CC003,Q009,3,Premi e Incentivi,218.4
HGY20240002,2024,2,CC003,Q009,4,Oneri Previdenziali,524.16
HGY20240002,2024,2,CC003,Q009,5,Quota TFR,218.4
HGY20240002,2024,2,CC003,Q009,6,Welfare & Benefit,87.36
HGY20240002,2024,2,CC003,Q009,7,Formazione & Sviluppo,43.68
HGY20240002,2025,4,CC003,Q009,1,Retribuzione Diretta,2704.0
HGY20240002,2025,4,CC003,Q009,2,Retribuzione Indiretta,416.0
HGY20240002,2025,4,CC003,Q009,3,Premi e Incentivi,208.0
HGY20240002,2025,4,CC003,Q009,4,Oneri Previdenziali,499.2
HGY20240002,2025,4,CC003,Q009,5,Quota TFR,208.0
HGY20240002,2025,4,CC003,Q009,6,Welfare & Benefit,83.2
HGY20240002,2025,4,CC003,Q009,7,Formazione & Sviluppo,41.6
HGY20240002,2025,5,CC003,Q009,1,Retribuzione Diretta,2839.2000000000003
HGY20240002,2025,5,CC003,Q009,2,Retribuzione Indiretta,436.8
HGY20240002,2025,5,CC003,Q009,3,Premi e Incentivi,218.4
HGY20240002,2025,5,CC003,Q009,4,Oneri Previdenziali,524.16
HGY20240002,2025,5,CC003,Q009,5,Quota TFR,218.4
HGY20240002,2025,5,CC003,Q009,6,Welfare & Benefit,87.36
HGY20240002,2025,5,CC003,Q009,7,Formazione & Sviluppo,43.68
HGY20240002,2025,6,CC003,Q009,1,Retribuzione Diretta,2704.0
HGY20240002,2025,6,CC003,Q009,2,Retribuzione Indiretta,416.0
HGY20240002,2025,6,CC003,Q009,3,Premi e Incentivi,208.0
HGY20240002,2025,6,CC003,Q009,4,Oneri Previdenziali,499.2
HGY20240002,2025,6,CC003,Q009,5,Quota TFR,208.0
HGY20240002,2025,6,CC003,Q009,6,Welfare & Benefit,83.2
HGY20240002,2025,6,CC003,Q009,7,Formazione & Sviluppo,41.6
HGY20240002,2025,7,CC003,Q009,1,Retribuzione Diretta,3109.6
HGY20240002,2025,7,CC003,Q009,2,Retribuzione Indiretta,478.4
HGY20240002,2025,7,CC003,Q009,3,Premi e Incentivi,239.2
HGY20240002,2025,7,CC003,Q009,4,Oneri Previdenziali,574.0799999999999
HGY20240002,2025,7,CC003,Q009,5,Quota TFR,239.2
HGY20240002,2025,7,CC003,Q009,6,Welfare & Benefit,95.68
HGY20240002,2025,7,CC003,Q009,7,Formazione & Sviluppo,47.84
HGY20240002,2025,8,CC003,Q009,1,Retribuzione Diretta,2704.0
HGY20240002,2025,8,CC003,Q009,2,Retribuzione Indiretta,416.0
HGY20240002,2025,8,CC003,Q009,3,Premi e Incentivi,208.0
HGY20240002,2025,8,CC003,Q009,4,Oneri Previdenziali,499.2
HGY20240002,2025,8,CC003,Q009,5,Quota TFR,208.0
HGY20240002,2025,8,CC003,Q009,6,Welfare & Benefit,83.2
HGY20240002,2025,8,CC003,Q009,7,Formazione & Sviluppo,41.6
HGY20240002,2025,9,CC003,Q009,1,Retribuzione Diretta,2974.4
HGY20240002,2025,9,CC003,Q009,2,Retribuzione Indiretta,457.6
HGY20240002,2025,9,CC003,Q009,3,Premi e Incentivi,228.8
HGY20240002,2025,9,CC003,Q009,4,Oneri Previdenziali,549.12
HGY20240002,2025,9,CC003,Q009,5,Quota TFR,228.8
HGY20240002,2025,9,CC003,Q009,6,Welfare & Benefit,91.52
HGY20240002,2025,9,CC003,Q009,7,Formazione & Sviluppo,45.76
HGY20240002,2025,10,CC003,Q009,1,Retribuzione Diretta,3109.6
HGY20240002,2025,10,CC003,Q009,2,Retribuzione Indiretta,478.4
HGY20240002,2025,10,CC003,Q009,3,Premi e Incentivi,239.2
HGY20240002,2025,10,CC003,Q009,4,Oneri Previdenziali,574.0799999999999
HGY20240002,2025,10,CC003,Q009,5,Quota TFR,239.2
HGY20240002,2025,10,CC003,Q009,6,Welfare & Benefit,95.68
HGY20240002,2025,10,CC003,Q009,7,Formazione & Sviluppo,47.84
HGY20240002,2025,11,CC003,Q009,1,Retribuzione Diretta,2704.0
HGY20240002,2025,11,CC003,Q009,2,Retribuzione Indiretta,416.0
HGY20240002,2025,11,CC003,Q009,3,Premi e Incentivi,208.0
HGY20240002,2025,11,CC003,Q009,4,Oneri Previdenziali,499.2
HGY20240002,2025,11,CC003,Q009,5,Quota TFR,208.0
HGY20240002,2025,11,CC003,Q009,6,Welfare & Benefit,83.2
HGY20240002,2025,11,CC003,Q009,7,Formazione & Sviluppo,41.6
HGY20240002,2025,12,CC003,Q009,1,Retribuzione Diretta,2704.0
HGY20240002,2025,12,CC003,Q009,2,Retribuzione Indiretta,416.0
HGY20240002,2025,12,CC003,Q009,3,Premi e Incentivi,208.0
HGY20240002,2025,12,CC003,Q009,4,Oneri Previdenziali,499.2
HGY20240002,2025,12,CC003,Q009,5,Quota TFR,208.0
HGY20240002,2025,12,CC003,Q009,6,Welfare & Benefit,83.2
HGY20240002,2025,12,CC003,Q009,7,Formazione & Sviluppo,41.6
HGY20240003,2024,1,CC006,Q010,1,Retribuzione Diretta,2631.2000000000003
HGY20240003,2024,1,CC006,Q010,2,Retribuzione Indiretta,404.8
HGY20240003,2024,1,CC006,Q010,3,Premi e Incentivi,202.4
HGY20240003,2024,1,CC006,Q010,4,Oneri Previdenziali,485.76
HGY20240003,2024,1,CC006,Q010,5,Quota TFR,202.4
HGY20240003,2024,1,CC006,Q010,6,Welfare & Benefit,80.96000000000001
HGY20240003,2024,1,CC006,Q010,7,Formazione & Sviluppo,40.48
HGY20240003,2024,2,CC006,Q010,1,Retribuzione Diretta,2511.6
HGY20240003,2024,2,CC006,Q010,2,Retribuzione Indiretta,386.4
HGY20240003,2024,2,CC006,Q010,3,Premi e Incentivi,193.2
HGY20240003,2024,2,CC006,Q010,4,Oneri Previdenziali,463.68
HGY20240003,2024,2,CC006,Q010,5,Quota TFR,193.2
HGY20240003,2024,2,CC006,Q010,6,Welfare & Benefit,77.28
HGY20240003,2024,2,CC006,Q010,7,Formazione & Sviluppo,38.64
HGY20240003,2024,3,CC006,Q010,1,Retribuzione Diretta,2511.6
HGY20240003,2024,3,CC006,Q010,2,Retribuzione Indiretta,386.4
HGY20240003,2024,3,CC006,Q010,3,Premi e Incentivi,193.2
HGY20240003,2024,3,CC006,Q010,4,Oneri Previdenziali,463.68
HGY20240003,2024,3,CC006,Q010,5,Quota TFR,193.2
HGY20240003,2024,3,CC006,Q010,6,Welfare & Benefit,77.28
HGY20240003,2024,3,CC006,Q010,7,Formazione & Sviluppo,38.64
HGY20240003,2024,4,CC006,Q010,1,Retribuzione Diretta,2392.0
HGY20240003,2024,4,CC006,Q010,2,Retribuzione Indiretta,368.0
HGY20240003,2024,4,CC006,Q010,3,Premi e Incentivi,184.0
HGY20240003,2024,4,CC006,Q010,4,Oneri Previdenziali,441.6
HGY20240003,2024,4,CC006,Q010,5,Quota TFR,184.0
HGY20240003,2024,4,CC006,Q010,6,Welfare & Benefit,73.60000000000001
HGY20240003,2024,4,CC006,Q010,7,Formazione & Sviluppo,36.8
HGY20240003,2025,6,CC006,Q010,1,Retribuzione Diretta,2392.0
HGY20240003,2025,6,CC006,Q010,2,Retribuzione Indiretta,368.0
HGY20240003,2025,6,CC006,Q010,3,Premi e Incentivi,184.0
HGY20240003,2025,6,CC006,Q010,4,Oneri Previdenziali,441.6
HGY20240003,2025,6,CC006,Q010,5,Quota TFR,184.0
HGY20240003,2025,6,CC006,Q010,6,Welfare & Benefit,73.60000000000001
HGY20240003,2025,6,CC006,Q010,7,Formazione & Sviluppo,36.8
HGY20240003,2025,7,CC006,Q010,1,Retribuzione Diretta,2750.8
HGY20240003,2025,7,CC006,Q010,2,Retribuzione Indiretta,423.2000000000001
HGY20240003,2025,7,CC006,Q010,3,Premi e Incentivi,211.6
HGY20240003,2025,7,CC006,Q010,4,Oneri Previdenziali,507.84
HGY20240003,2025,7,CC006,Q010,5,Quota TFR,211.6
HGY20240003,2025,7,CC006,Q010,6,Welfare & Benefit,84.64
HGY20240003,2025,7,CC006,Q010,7,Formazione & Sviluppo,42.32
HGY20240003,2025,8,CC006,Q010,1,Retribuzione Diretta,2392.0
HGY20240003,2025,8,CC006,Q010,2,Retribuzione Indiretta,368.0
HGY20240003,2025,8,CC006,Q010,3,Premi e Incentivi,184.0
HGY20240003,2025,8,CC006,Q010,4,Oneri Previdenziali,441.6
HGY20240003,2025,8,CC006,Q010,5,Quota TFR,184.0
HGY20240003,2025,8,CC006,Q010,6,Welfare & Benefit,73.60000000000001
HGY20240003,2025,8,CC006,Q010,7,Formazione & Sviluppo,36.8
HGY20240003,2025,9,CC006,Q010,1,Retribuzione Diretta,2631.2000000000003
HGY20240003,2025,9,CC006,Q010,2,Retribuzione Indiretta,404.8
HGY20240003,2025,9,CC006,Q010,3,Premi e Incentivi,202.4
HGY20240003,2025,9,CC006,Q010,4,Oneri Previdenziali,485.76
HGY20240003,2025,9,CC006,Q010,5,Quota TFR,202.4
HGY20240003,2025,9,CC006,Q010,6,Welfare & Benefit,80.96000000000001
HGY20240003,2025,9,CC006,Q010,7,Formazione & Sviluppo,40.48
HGY20240003,2025,10,CC006,Q010,1,Retribuzione Diretta,2750.8
HGY20240003,2025,10,CC006,Q010,2,Retribuzione Indiretta,423.2000000000001
HGY20240003,2025,10,CC006,Q010,3,Premi e Incentivi,211.6
HGY20240003,2025,10,CC006,Q010,4,Oneri Previdenziali,507.84
HGY20240003,2025,10,CC006,Q010,5,Quota TFR,211.6
HGY20240003,2025,10,CC006,Q010,6,Welfare & Benefit,84.64
HGY20240003,2025,10,CC006,Q010,7,Formazione & Sviluppo,42.32
HGY20240003,2025,11,CC006,Q010,1,Retribuzione Diretta,2392.0
HGY20240003,2025,11,CC006,Q010,2,Retribuzione Indiretta,368.0
HGY20240003,2025,11,CC006,Q010,3,Premi e Incentivi,184.0
HGY20240003,2025,11,CC006,Q010,4,Oneri Previdenziali,441.6
HGY20240003,2025,11,CC006,Q010,5,Quota TFR,184.0
HGY20240003,2025,11,CC006,Q010,6,Welfare & Benefit,73.60000000000001
HGY20240003,2025,11,CC006,Q010,7,Formazione & Sviluppo,36.8
HGY20240003,2025,12,CC006,Q010,1,Retribuzione Diretta,2392.0
HGY20240003,2025,12,CC006,Q010,2,Retribuzione Indiretta,368.0
HGY20240003,2025,12,CC006,Q010,3,Premi e Incentivi,184.0
HGY20240003,2025,12,CC006,Q010,4,Oneri Previdenziali,441.6
HGY20240003,2025,12,CC006,Q010,5,Quota TFR,184.0
HGY20240003,2025,12,CC006,Q010,6,Welfare & Benefit,73.60000000000001
HGY20240003,2025,12,CC006,Q010,7,Formazione & Sviluppo,36.8
HGY20240004,2024,1,CC006,Q003,1,Retribuzione Diretta,2574.0
HGY20240004,2024,1,CC006,Q003,2,Retribuzione Indiretta,396.0
HGY20240004,2024,1,CC006,Q003,3,Premi e Incentivi,198.0
HGY20240004,2024,1,CC006,Q003,4,Oneri Previdenziali,475.2
HGY20240004,2024,1,CC006,Q003,5,Quota TFR,198.0
HGY20240004,2024,1,CC006,Q003,6,Welfare & Benefit,79.2
HGY20240004,2024,1,CC006,Q003,7,Formazione & Sviluppo,39.6
HGY20240004,2024,2,CC006,Q003,1,Retribuzione Diretta,2457.0
HGY20240004,2024,2,CC006,Q003,2,Retribuzione Indiretta,378.0
HGY20240004,2024,2,CC006,Q003,3,Premi e Incentivi,189.0
HGY20240004,2024,2,CC006,Q003,4,Oneri Previdenziali,453.6
HGY20240004,2024,2,CC006,Q003,5,Quota TFR,189.0
HGY20240004,2024,2,CC006,Q003,6,Welfare & Benefit,75.60000000000001
HGY20240004,2024,2,CC006,Q003,7,Formazione & Sviluppo,37.8
HGY20240004,2024,3,CC006,Q003,1,Retribuzione Diretta,2457.0
HGY20240004,2024,3,CC006,Q003,2,Retribuzione Indiretta,378.0
HGY20240004,2024,3,CC006,Q003,3,Premi e Incentivi,189.0
HGY20240004,2024,3,CC006,Q003,4,Oneri Previdenziali,453.6
HGY20240004,2024,3,CC006,Q003,5,Quota TFR,189.0
HGY20240004,2024,3,CC006,Q003,6,Welfare & Benefit,75.60000000000001
HGY20240004,2025,4,CC006,Q003,7,Formazione & Sviluppo,36.0
HGY20240004,2025,5,CC006,Q003,1,Retribuzione Diretta,2457.0
HGY20240004,2025,5,CC006,Q003,2,Retribuzione Indiretta,378.0
HGY20240004,2025,5,CC006,Q003,3,Premi e Incentivi,189.0
HGY20240004,2025,5,CC006,Q003,4,Oneri Previdenziali,453.6
HGY20240004,2025,5,CC006,Q003,5,Quota TFR,189.0
HGY20240004,2025,5,CC006,Q003,6,Welfare & Benefit,75.60000000000001
HGY20240004,2025,5,CC006,Q003,7,Formazione & Sviluppo,37.8
HGY20240004,2025,6,CC006,Q003,1,Retribuzione Diretta,2340.0
HGY20240004,2025,6,CC006,Q003,2,Retribuzione Indiretta,360.0
HGY20240004,2025,6,CC006,Q003,3,Premi e Incentivi,180.0
HGY20240004,2025,6,CC006,Q003,4,Oneri Previdenziali,432.0
HGY20240004,2025,6,CC006,Q003,5,Quota TFR,180.0
HGY20240004,2025,6,CC006,Q003,6,Welfare & Benefit,72.0
HGY20240004,2025,6,CC006,Q003,7,Formazione & Sviluppo,36.0
HGY20240004,2025,7,CC006,Q003,1,Retribuzione Diretta,2691.0
HGY20240004,2025,7,CC006,Q003,2,Retribuzione Indiretta,414.0
HGY20240004,2025,7,CC006,Q003,3,Premi e Incentivi,207.0
HGY20240004,2025,7,CC006,Q003,4,Oneri Previdenziali,496.8
HGY20240004,2025,7,CC006,Q003,5,Quota TFR,207.0
HGY20240004,2025,7,CC006,Q003,6,Welfare & Benefit,82.8
HGY20240004,2025,7,CC006,Q003,7,Formazione & Sviluppo,41.4
HGY20240005,2024,9,CC007,Q007,1,Retribuzione Diretta,2730.0
HGY20240005,2024,9,CC007,Q007,2,Retribuzione Indiretta,420.0
HGY20240005,2024,9,CC007,Q007,3,Premi e Incentivi,210.0
HGY20240005,2024,9,CC007,Q007,4,Oneri Previdenziali,504.0
HGY20240005,2024,9,CC007,Q007,5,Quota TFR,210.0
HGY20240005,2024,9,CC007,Q007,6,Welfare & Benefit,84.0
HGY20240005,2024,9,CC007,Q007,7,Formazione & Sviluppo,42.0
HGY20240005,2024,10,CC007,Q007,1,Retribuzione Diretta,2990.0
HGY20240005,2024,10,CC007,Q007,2,Retribuzione Indiretta,460.0
HGY20240005,2024,10,CC007,Q007,3,Premi e Incentivi,230.0
HGY20240005,2024,10,CC007,Q007,4,Oneri Previdenziali,552.0
HGY20240005,2024,10,CC007,Q007,5,Quota TFR,230.0
HGY20240005,2024,10,CC007,Q007,6,Welfare & Benefit,92.0
HGY20240005,2024,10,CC007,Q007,7,Formazione & Sviluppo,46.0
HGY20240005,2024,11,CC007,Q007,1,Retribuzione Diretta,2600.0
HGY20240005,2024,11,CC007,Q007,2,Retribuzione Indiretta,400.0
HGY20240005,2024,11,CC007,Q007,3,Premi e Incentivi,200.0
HGY20240005,2024,11,CC007,Q007,4,Oneri Previdenziali,480.0
HGY20240005,2024,11,CC007,Q007,5,Quota TFR,200.0
HGY20240005,2024,11,CC007,Q007,6,Welfare & Benefit,80.0
HGY20240005,2024,11,CC007,Q007,7,Formazione & Sviluppo,40.0
HGY20240005,2024,12,CC007,Q007,1,Retribuzione Diretta,2600.0
HGY20240005,2024,12,CC007,Q007,2,Retribuzione Indiretta,400.0
HGY20240005,2024,12,CC007,Q007,3,Premi e Incentivi,200.0
HGY20240005,2024,12,CC007,Q007,4,Oneri Previdenziali,480.0
HGY20240005,2024,12,CC007,Q007,5,Quota TFR,200.0
HGY20240005,2024,12,CC007,Q007,6,Welfare & Benefit,80.0
HGY20240005,2024,12,CC007,Q007,7,Formazione & Sviluppo,40.0
HGY20240005,2025,1,CC007,Q007,1,Retribuzione Diretta,2730.0
HGY20240005,2025,1,CC007,Q007,2,Retribuzione Indiretta,420.0
HGY20240005,2025,1,CC007,Q007,3,Premi e Incentivi,210.0
HGY20240005,2025,1,CC007,Q007,4,Oneri Previdenziali,504.0
HGY20240005,2025,1,CC007,Q007,5,Quota TFR,210.0
HGY20240005,2025,1,CC007,Q007,6,Welfare & Benefit,84.0
HGY20240005,2025,1,CC007,Q007,7,Formazione & Sviluppo,42.0
HGY20240005,2025,2,CC007,Q007,1,Retribuzione Diretta,2600.0
HGY20240005,2025,2,CC007,Q007,2,Retribuzione Indiretta,400.0
HGY20240005,2025,2,CC007,Q007,3,Premi e Incentivi,200.0
HGY20240005,2025,2,CC007,Q007,4,Oneri Previdenziali,480.0
HGY20240005,2025,2,CC007,Q007,5,Quota TFR,200.0
HGY20240005,2025,2,CC007,Q007,6,Welfare & Benefit,80.0
HGY20240005,2025,2,CC007,Q007,7,Formazione & Sviluppo,40.0
HGY20240005,2025,3,CC007,Q007,1,Retribuzione Diretta,2730.0
HGY20240005,2025,3,CC007,Q007,2,Retribuzione Indiretta,420.0
HGY20240005,2025,3,CC007,Q007,3,Premi e Incentivi,210.0
HGY20240005,2025,3,CC007,Q007,4,Oneri Previdenziali,504.0
HGY20240005,2025,3,CC007,Q007,5,Quota TFR,210.0
HGY20240005,2025,3,CC007,Q007,6,Welfare & Benefit,84.0
HGY20240005,2025,3,CC007,Q007,7,Formazione & Sviluppo,42.0
HGY20240005,2025,4,CC007,Q007,1,Retribuzione Diretta,2600.0
HGY20240005,2025,4,CC007,Q007,2,Retribuzione Indiretta,400.0
HGY20240005,2025,4,CC007,Q007,3,Premi e Incentivi,200.0
HGY20240005,2025,4,CC007,Q007,4,Oneri Previdenziali,480.0
HGY20240005,2025,4,CC007,Q007,5,Quota TFR,200.0
HGY20240005,2025,4,CC007,Q007,6,Welfare & Benefit,80.0
HGY20240005,2025,4,CC007,Q007,7,Formazione & Sviluppo,40.0
HGY20240005,2025,5,CC007,Q007,1,Retribuzione Diretta,2730.0
HGY20240005,2025,5,CC007,Q007,2,Retribuzione Indiretta,420.0
HGY20240006,2024,6,CC012,Q007,3,Premi e Incentivi,100.0
HGY20240006,2024,6,CC012,Q007,4,Oneri Previdenziali,240.0
HGY20240006,2024,6,CC012,Q007,5,Quota TFR,100.0
HGY20240006,2024,6,CC012,Q007,6,Welfare & Benefit,40.0
HGY20240006,2024,6,CC012,Q007,7,Formazione & Sviluppo,20.0
HGY20240006,2024,7,CC012,Q007,1,Retribuzione Diretta,1495.0
HGY20240006,2024,7,CC012,Q007,2,Retribuzione Indiretta,230.0
HGY20240006,2024,7,CC012,Q007,3,Premi e Incentivi,115.0
HGY20240006,2024,7,CC012,Q007,4,Oneri Previdenziali,276.0
HGY20240006,2024,7,CC012,Q007,5,Quota TFR,115.0
HGY20240006,2024,7,CC012,Q007,6,Welfare & Benefit,46.0
HGY20240006,2024,7,CC012,Q007,7,Formazione & Sviluppo,23.0
HGY20240006,2024,8,CC012,Q007,1,Retribuzione Diretta,1365.0
HGY20240006,2024,8,CC012,Q007,2,Retribuzione Indiretta,210.0
HGY20240006,2024,8,CC012,Q007,3,Premi e Incentivi,105.0
HGY20240006,2024,8,CC012,Q007,4,Oneri Previdenziali,252.0
HGY20240006,2024,8,CC012,Q007,5,Quota TFR,105.0
HGY20240006,2024,8,CC012,Q007,6,Welfare & Benefit,42.0
HGY20240006,2024,8,CC012,Q007,7,Formazione & Sviluppo,21.0
HGY20240006,2024,9,CC012,Q007,1,Retribuzione Diretta,1365.0
HGY20240006,2024,9,CC012,Q007,2,Retribuzione Indiretta,210.0
HGY20240006,2024,9,CC012,Q007,3,Premi e Incentivi,105.0
HGY20240006,2024,9,CC012,Q007,4,Oneri Previdenziali,252.0
HGY20240006,2024,9,CC012,Q007,5,Quota TFR,105.0
HGY20240006,2024,9,CC012,Q007,6,Welfare & Benefit,42.0
HGY20240006,2024,9,CC012,Q007,7,Formazione & Sviluppo,21.0
HGY20240006,2024,10,CC012,Q007,1,Retribuzione Diretta,1495.0
HGY20240006,2024,10,CC012,Q007,2,Retribuzione Indiretta,230.0
HGY20240006,2024,10,CC012,Q007,3,Premi e Incentivi,115.0
HGY20240006,2024,10,CC012,Q007,4,Oneri Previdenziali,276.0
HGY20240006,2024,10,CC012,Q007,5,Quota TFR,115.0
HGY20240006,2024,10,CC012,Q007,6,Welfare & Benefit,46.0
HGY20240006,2024,10,CC012,Q007,7,Formazione & Sviluppo,23.0
HGY20240006,2025,12,CC012,Q007,1,Retribuzione Diretta,1300.0
HGY20240006,2025,12,CC012,Q007,2,Retribuzione Indiretta,200.0
HGY20240006,2025,12,CC012,Q007,3,Premi e Incentivi,100.0
HGY20240006,2025,12,CC012,Q007,4,Oneri Previdenziali,240.0
HGY20240006,2025,12,CC012,Q007,5,Quota TFR,100.0
HGY20240006,2025,12,CC012,Q007,6,Welfare & Benefit,40.0
HGY20240006,2025,12,CC012,Q007,7,Formazione & Sviluppo,20.0
HGY20240007,2024,1,CC013,Q001,1,Retribuzione Diretta,3861.0
HGY20240007,2024,1,CC013,Q001,2,Retribuzione Indiretta,594.0
HGY20240007,2024,1,CC013,Q001,3,Premi e Incentivi,297.0
HGY20240007,2024,1,CC013,Q001,4,Oneri Previdenziali,712.8
HGY20240007,2024,1,CC013,Q001,5,Quota TFR,297.0
HGY20240007,2024,1,CC013,Q001,6,Welfare & Benefit,118.8
HGY20240007,2024,1,CC013,Q001,7,Formazione & Sviluppo,59.4
