SatisfactionKey,OrderNumber,OrderDateKey,SurveyDateKey,SatisfactionScore,Comments
73,ORD00000073,20230102,20230107,1,Follow-up required
74,ORD00000074,20230102,20230104,5,
75,ORD00000075,20230102,20230109,5,
76,ORD00000076,20230102,20230105,5,
77,ORD00000077,20230102,20230107,5,
78,ORD00000078,20230102,20230104,2,Follow-up required
79,ORD00000079,20230102,20230108,4,
80,ORD00000080,20230102,20230105,2,Follow-up required
81,ORD00000081,20230102,20230107,5,
82,ORD00000082,20230102,20230107,4,
83,ORD00000083,20230102,20230106,3,
84,ORD00000084,20230102,20230107,2,Follow-up required
85,ORD00000085,20230102,20230105,3,
86,ORD00000086,20230102,20230105,3,
87,ORD00000087,20230102,20230103,5,
88,ORD00000088,20230102,20230105,4,
89,ORD00000089,20230102,20230104,5,
90,ORD00000090,20230102,20230103,4,
91,ORD00000091,20230102,20230107,2,Follow-up required
92,ORD00000092,20230102,20230103,5,
93,ORD00000093,20230102,20230104,5,
94,ORD00000094,20230102,20230103,4,
95,ORD00000095,20230102,20230104,5,
96,ORD00000096,20230102,20230107,4,
97,ORD00000097,20230102,20230103,4,
98,ORD00000098,20230102,20230109,4,
99,ORD00000099,20230102,20230105,1,Follow-up required
100,ORD00000100,20230102,20230105,2,Follow-up required
101,ORD00000101,20230102,20230104,1,Follow-up required
102,ORD00000102,20230102,20230104,4,
103,ORD00000103,20230102,20230104,3,
104,ORD00000104,20230102,20230108,4,
105,ORD00000105,20230102,20230107,5,
106,ORD00000106,20230103,20230109,3,
107,ORD00000107,20230103,20230105,4,
108,ORD00000108,20230103,20230106,5,
109,ORD00000109,20230103,20230110,3,
110,ORD00000110,20230103,20230110,2,Follow-up required
111,ORD00000111,20230103,20230106,3,
112,ORD00000112,20230103,20230105,3,
113,ORD00000113,20230103,20230107,5,
114,ORD00000114,20230103,20230109,5,
115,ORD00000115,20230103,20230105,4,
116,ORD00000116,20230103,20230110,5,
117,ORD00000117,20230103,20230107,5,
118,ORD00000118,20230103,20230104,3,
119,ORD00000119,20230103,20230104,5,
120,ORD00000120,20230103,20230106,4,
121,ORD00000121,20230103,20230104,5,
122,ORD00000122,20230103,20230110,5,
123,ORD00000123,20230103,20230104,3,
124,ORD00000124,20230103,20230110,2,Follow-up required
125,ORD00000125,20230103,20230110,3,
126,ORD00000126,20230103,20230104,4,
127,ORD00000127,20230103,20230108,5,
128,ORD00000128,20230103,20230108,5,
129,ORD00000129,20230103,20230109,1,Follow-up required
130,ORD00000130,20230103,20230105,4,
131,ORD00000131,20230103,20230107,4,
132,ORD00000132,20230103,20230106,3,
133,ORD00000133,20230103,20230109,2,Follow-up required
134,ORD00000134,20230103,20230109,3,
135,ORD00000135,20230103,20230108,5,
136,ORD00000136,20230103,20230108,3,
137,ORD00000137,20230103,20230109,4,
138,ORD00000138,20230103,20230106,5,
139,ORD00000139,20230103,20230109,4,
140,ORD00000140,20230103,20230108,5,
141,ORD00000141,20230103,20230106,5,
142,ORD00000142,20230103,20230110,3,
143,ORD00000143,20230103,20230105,4,
144,ORD00000144,20230103,20230105,3,
145,ORD00000145,20230103,20230109,3,
146,ORD00000146,20230103,20230104,1,Follow-up required
147,ORD00000147,20230103,20230110,4,
148,ORD00000148,20230103,20230106,4,
149,ORD00000149,20230103,20230106,2,Follow-up required
150,ORD00000150,20230103,20230105,3,
151,ORD00000151,20230103,20230108,5,
152,ORD00000152,20230103,20230106,3,
153,ORD00000153,20230103,20230109,2,Follow-up required
154,ORD00000154,20230103,20230106,4,
155,ORD00000155,20230103,20230108,5,
156,ORD00000156,20230103,20230105,3,
157,ORD00000157,20230103,20230106,4,
158,ORD00000158,20230103,20230106,5,
159,ORD00000159,20230104,20230109,3,
160,ORD00000160,20230104,20230105,5,
161,ORD00000161,20230104,20230109,4,
162,ORD00000162,20230104,20230110,4,
163,ORD00000163,20230104,20230109,4,
164,ORD00000164,20230104,20230105,4,
165,ORD00000165,20230104,20230107,2,Follow-up required
166,ORD00000166,20230104,20230105,5,
167,ORD00000167,20230104,20230108,3,
168,ORD00000168,20230104,20230111,3,
169,ORD00000169,20230104,20230105,1,Follow-up required
170,ORD00000170,20230104,20230106,4,
171,ORD00000171,20230104,20230107,4,
172,ORD00000172,20230104,20230108,1,Follow-up required
173,ORD00000173,20230104,20230108,4,
174,ORD00000174,20230104,20230105,3,
175,ORD00000175,20230104,20230111,4,
176,ORD00000176,20230104,20230111,3,
177,ORD00000177,20230104,20230108,4,
178,ORD00000178,20230104,20230110,4,
179,ORD00000179,20230104,20230107,5,
180,ORD00000180,20230104,20230107,2,Follow-up required
181,ORD00000181,20230104,20230109,3,
182,ORD00000182,20230104,20230109,2,Follow-up required
183,ORD00000183,20230104,20230110,5,
184,ORD00000184,20230104,20230106,5,
185,ORD00000185,20230104,20230110,3,
186,ORD00000186,20230104,20230105,4,
187,ORD00000187,20230104,20230108,5,
188,ORD00000188,20230104,20230111,4,
189,ORD00000189,20230104,20230109,4,
190,ORD00000190,20230104,20230107,3,
191,ORD00000191,20230104,20230110,2,Follow-up required
192,ORD00000192,20230104,20230111,5,
193,ORD00000193,20230104,20230108,5,
194,ORD00000194,20230104,20230105,4,
195,ORD00000195,20230104,20230108,3,
196,ORD00000196,20230104,20230108,3,
197,ORD00000197,20230104,20230106,5,
198,ORD00000198,20230104,20230105,5,
199,ORD00000199,20230104,20230108,5,
200,ORD00000200,20230104,20230107,5,
201,ORD00000201,20230104,20230107,4,
202,ORD00000202,20230104,20230106,2,Follow-up required
203,ORD00000203,20230104,20230109,3,
204,ORD00000204,20230104,20230105,5,
205,ORD00000205,20230104,20230108,4,
206,ORD00000206,20230104,20230106,1,Follow-up required
207,ORD00000207,20230104,20230111,2,Follow-up required
208,ORD00000208,20230104,20230107,4,
209,ORD00000209,20230104,20230110,1,Follow-up required
210,ORD00000210,20230104,20230108,3,
211,ORD00000211,20230104,20230107,4,
212,ORD00000212,20230104,20230110,4,
213,ORD00000213,20230104,20230108,4,
214,ORD00000214,20230105,20230106,3,
215,ORD00000215,20230105,20230108,5,
216,ORD00000216,20230105,20230107,3,
217,ORD00000217,20230105,20230107,3,
218,ORD00000218,20230105,20230112,5,
219,ORD00000219,20230105,20230107,4,
220,ORD00000220,20230105,20230111,5,
221,ORD00000221,20230105,20230107,4,
222,ORD00000222,20230105,20230110,4,
223,ORD00000223,20230105,20230111,2,Follow-up required
224,ORD00000224,20230105,20230109,4,
225,ORD00000225,20230105,20230111,3,
226,ORD00000226,20230105,20230109,3,
227,ORD00000227,20230105,20230109,5,
228,ORD00000228,20230105,20230110,4,
229,ORD00000229,20230105,20230112,5,
230,ORD00000230,20230105,20230111,4,
231,ORD00000231,20230105,20230107,5,
232,ORD00000232,20230105,20230106,4,
233,ORD00000233,20230105,20230107,4,
234,ORD00000234,20230105,20230110,4,
235,ORD00000235,20230105,20230106,3,
236,ORD00000236,20230105,20230110,5,
237,ORD00000237,20230105,20230108,3,
238,ORD00000238,20230105,20230112,1,Follow-up required
239,ORD00000239,20230105,20230109,4,
240,ORD00000240,20230105,20230109,3,
241,ORD00000241,20230105,20230110,5,
242,ORD00000242,20230105,20230106,5,
243,ORD00000243,20230105,20230108,5,
244,ORD00000244,20230105,20230108,4,
245,ORD00000245,20230105,20230107,1,Follow-up required
246,ORD00000246,20230105,20230107,5,
247,ORD00000247,20230105,20230106,4,
248,ORD00000248,20230105,20230112,5,
249,ORD00000249,20230105,20230112,5,
250,ORD00000250,20230105,20230107,5,
251,ORD00000251,20230105,20230109,3,
252,ORD00000252,20230105,20230110,4,
253,ORD00000253,20230105,20230109,5,
254,ORD00000254,20230105,20230112,3,
255,ORD00000255,20230105,20230108,3,
256,ORD00000256,20230105,20230108,4,
257,ORD00000257,20230105,20230110,5,
258,ORD00000258,20230105,20230106,4,
259,ORD00000259,20230105,20230108,4,
260,ORD00000260,20230105,20230106,2,Follow-up required
261,ORD00000261,20230105,20230109,4,
262,ORD00000262,20230105,20230111,5,
263,ORD00000263,20230105,20230111,2,Follow-up required
264,ORD00000264,20230105,20230107,4,
265,ORD00000265,20230105,20230110,5,
266,ORD00000266,20230105,20230107,5,
267,ORD00000267,20230105,20230112,4,
268,ORD00000268,20230106,20230113,5,
269,ORD00000269,20230106,20230107,4,
270,ORD00000270,20230106,20230112,3,
271,ORD00000271,20230106,20230107,5,
272,ORD00000272,20230106,20230110,5,
273,ORD00000273,20230106,20230110,5,
274,ORD00000274,20230106,20230107,5,
275,ORD00000275,20230106,20230110,4,
276,ORD00000276,20230106,20230111,4,
277,ORD00000277,20230106,20230109,5,
278,ORD00000278,20230106,20230111,4,
279,ORD00000279,20230106,20230113,5,
280,ORD00000280,20230106,20230107,5,
281,ORD00000281,20230106,20230112,5,
282,ORD00000282,20230106,20230109,3,
283,ORD00000283,20230106,20230107,4,
284,ORD00000284,20230106,20230112,2,Follow-up required
285,ORD00000285,20230106,20230111,4,
286,ORD00000286,20230106,20230112,1,Follow-up required
287,ORD00000287,20230106,20230113,4,
288,ORD00000288,20230106,20230113,4,
289,ORD00000289,20230106,20230107,3,
290,ORD00000290,20230106,20230110,4,
291,ORD00000291,20230106,20230107,1,Follow-up required
292,ORD00000292,20230106,20230111,1,Follow-up required
293,ORD00000293,20230106,20230112,5,
294,ORD00000294,20230106,20230110,4,
295,ORD00000295,20230106,20230109,2,Follow-up required
296,ORD00000296,20230106,20230111,4,
297,ORD00000297,20230106,20230108,5,
298,ORD00000298,20230106,20230108,3,
299,ORD00000299,20230106,20230113,4,
300,ORD00000300,20230106,20230113,2,Follow-up required
301,ORD00000301,20230106,20230111,2,Follow-up required
302,ORD00000302,20230106,20230113,4,
303,ORD00000303,20230106,20230111,4,
304,ORD00000304,20230106,20230113,4,
305,ORD00000305,20230106,20230108,5,
306,ORD00000306,20230106,20230113,5,
307,ORD00000307,20230106,20230108,4,
308,ORD00000308,20230106,20230112,3,
309,ORD00000309,20230106,20230108,5,
310,ORD00000310,20230106,20230111,3,
311,ORD00000311,20230106,20230112,4,
312,ORD00000312,20230106,20230110,2,Follow-up required
313,ORD00000313,20230106,20230107,1,Follow-up required
314,ORD00000314,20230106,20230112,5,
315,ORD00000315,20230106,20230112,5,
316,ORD00000316,20230106,20230107,4,
317,ORD00000317,20230106,20230113,4,
318,ORD00000318,20230106,20230110,3,
319,ORD00000319,20230106,20230107,3,
320,ORD00000320,20230106,20230112,3,
321,ORD00000321,20230106,20230110,4,
322,ORD00000322,20230107,20230111,5,
323,ORD00000323,20230107,20230108,4,
324,ORD00000324,20230107,20230108,3,
325,ORD00000325,20230107,20230114,5,
326,ORD00000326,20230107,20230108,5,
327,ORD00000327,20230107,20230110,4,
328,ORD00000328,20230107,20230108,4,
329,ORD00000329,20230107,20230112,4,
330,ORD00000330,20230107,20230114,3,
331,ORD00000331,20230107,20230114,4,
332,ORD00000332,20230107,20230112,5,
333,ORD00000333,20230107,20230110,1,Follow-up required
334,ORD00000334,20230107,20230112,2,Follow-up required
335,ORD00000335,20230107,20230108,1,Follow-up required
336,ORD00000336,20230107,20230110,1,Follow-up required
337,ORD00000337,20230107,20230113,5,
338,ORD00000338,20230107,20230109,5,
339,ORD00000339,20230107,20230113,4,
340,ORD00000340,20230107,20230109,2,Follow-up required
341,ORD00000341,20230107,20230111,4,
342,ORD00000342,20230107,20230114,4,
343,ORD00000343,20230107,20230108,3,
344,ORD00000344,20230107,20230111,4,
345,ORD00000345,20230107,20230109,4,
346,ORD00000346,20230107,20230112,4,
347,ORD00000347,20230107,20230110,4,
348,ORD00000348,20230107,20230114,1,Follow-up required
349,ORD00000349,20230107,20230109,4,
350,ORD00000350,20230107,20230111,4,
351,ORD00000351,20230107,20230112,4,
352,ORD00000352,20230107,20230110,5,
353,ORD00000353,20230107,20230113,4,
354,ORD00000354,20230107,20230112,3,
355,ORD00000355,20230107,20230109,2,Follow-up required
356,ORD00000356,20230107,20230112,4,
357,ORD00000357,20230107,20230112,1,Follow-up required
358,ORD00000358,20230107,20230111,4,
359,ORD00000359,20230107,20230112,5,
360,ORD00000360,20230107,20230110,4,
361,ORD00000361,20230107,20230109,4,
362,ORD00000362,20230107,20230108,4,
363,ORD00000363,20230107,20230112,4,
364,ORD00000364,20230107,20230113,4,
365,ORD00000365,20230107,20230114,5,
366,ORD00000366,20230107,20230109,4,
367,ORD00000367,20230107,20230112,5,
368,ORD00000368,20230107,20230112,5,
369,ORD00000369,20230107,20230113,3,
370,ORD00000370,20230107,20230111,2,Follow-up required
371,ORD00000371,20230107,20230109,2,Follow-up required
372,ORD00000372,20230108,20230111,1,Follow-up required
373,ORD00000373,20230108,20230109,2,Follow-up required
374,ORD00000374,20230108,20230113,4,
375,ORD00000375,20230108,20230110,2,Follow-up required
376,ORD00000376,20230108,20230110,3,
377,ORD00000377,20230108,20230113,5,
378,ORD00000378,20230108,20230109,1,Follow-up required
379,ORD00000379,20230108,20230115,5,
380,ORD00000380,20230108,20230113,3,
381,ORD00000381,20230108,20230109,2,Follow-up required
382,ORD00000382,20230108,20230110,4,
383,ORD00000383,20230108,20230115,4,
384,ORD00000384,20230108,20230113,5,
385,ORD00000385,20230108,20230110,5,
386,ORD00000386,20230108,20230113,5,
387,ORD00000387,20230108,20230113,3,
388,ORD00000388,20230108,20230111,3,
389,ORD00000389,20230108,20230112,5,
390,ORD00000390,20230108,20230113,5,
391,ORD00000391,20230108,20230114,5,
392,ORD00000392,20230108,20230113,4,
393,ORD00000393,20230108,20230110,4,
394,ORD00000394,20230108,20230109,5,
395,ORD00000395,20230108,20230110,3,
396,ORD00000396,20230108,20230114,5,
397,ORD00000397,20230108,20230112,5,
398,ORD00000398,20230108,20230113,4,
399,ORD00000399,20230108,20230110,5,
400,ORD00000400,20230108,20230114,5,
401,ORD00000401,20230108,20230109,2,Follow-up required
402,ORD00000402,20230108,20230112,5,
403,ORD00000403,20230108,20230112,4,
404,ORD00000404,20230108,20230113,5,
405,ORD00000405,20230108,20230112,3,
406,ORD00000406,20230108,20230109,5,
407,ORD00000407,20230108,20230115,4,
408,ORD00000408,20230108,20230110,1,Follow-up required
409,ORD00000409,20230108,20230112,5,
410,ORD00000410,20230108,20230114,2,Follow-up required
411,ORD00000411,20230108,20230111,3,
412,ORD00000412,20230108,20230115,5,
413,ORD00000413,20230108,20230110,5,
414,ORD00000414,20230108,20230109,4,
415,ORD00000415,20230108,20230115,4,
416,ORD00000416,20230108,20230115,4,
417,ORD00000417,20230108,20230109,3,
418,ORD00000418,20230108,20230113,3,
419,ORD00000419,20230108,20230114,4,
420,ORD00000420,20230108,20230112,5,
421,ORD00000421,20230108,20230113,5,
422,ORD00000422,20230109,20230113,5,
423,ORD00000423,20230109,20230116,2,Follow-up required
424,ORD00000424,20230109,20230115,4,
425,ORD00000425,20230109,20230115,2,Follow-up required
426,ORD00000426,20230109,20230111,4,
427,ORD00000427,20230109,20230114,4,
428,ORD00000428,20230109,20230114,5,
429,ORD00000429,20230109,20230114,4,
430,ORD00000430,20230109,20230114,2,Follow-up required
431,ORD00000431,20230109,20230112,2,Follow-up required
432,ORD00000432,20230109,20230112,5,
433,ORD00000433,20230109,20230115,4,
434,ORD00000434,20230109,20230116,2,Follow-up required
435,ORD00000435,20230109,20230114,2,Follow-up required
436,ORD00000436,20230109,20230113,5,
437,ORD00000437,20230109,20230114,2,Follow-up required
438,ORD00000438,20230109,20230112,5,
439,ORD00000439,20230109,20230116,5,
440,ORD00000440,20230109,20230112,2,Follow-up required
441,ORD00000441,20230109,20230114,2,Follow-up required
442,ORD00000442,20230109,20230114,5,
443,ORD00000443,20230109,20230113,4,
444,ORD00000444,20230109,20230115,4,
445,ORD00000445,20230109,20230115,5,
446,ORD00000446,20230109,20230115,5,
447,ORD00000447,20230109,20230112,5,
448,ORD00000448,20230109,20230116,5,
449,ORD00000449,20230109,20230114,4,
450,ORD00000450,20230109,20230116,2,Follow-up required
451,ORD00000451,20230109,20230110,5,
452,ORD00000452,20230109,20230114,4,
453,ORD00000453,20230109,20230112,4,
454,ORD00000454,20230109,20230116,5,
455,ORD00000455,20230109,20230110,2,Follow-up required
456,ORD00000456,20230109,20230110,4,
457,ORD00000457,20230109,20230110,1,Follow-up required
458,ORD00000458,20230109,20230113,4,
459,ORD00000459,20230109,20230116,2,Follow-up required
460,ORD00000460,20230109,20230114,2,Follow-up required
461,ORD00000461,20230109,20230115,2,Follow-up required
462,ORD00000462,20230109,20230110,4,
463,ORD00000463,20230109,20230113,5,
464,ORD00000464,20230109,20230112,4,
465,ORD00000465,20230109,20230110,5,
466,ORD00000466,20230109,20230115,4,
467,ORD00000467,20230109,20230116,3,
468,ORD00000468,20230109,20230114,5,
469,ORD00000469,20230109,20230110,3,
470,ORD00000470,20230109,20230112,5,
471,ORD00000471,20230109,20230112,1,Follow-up required
472,ORD00000472,20230109,20230110,5,
473,ORD00000473,20230109,20230114,1,Follow-up required
474,ORD00000474,20230109,20230116,5,
475,ORD00000475,20230109,20230116,4,
476,ORD00000476,20230110,20230114,5,
477,ORD00000477,20230110,20230111,2,Follow-up required
478,ORD00000478,20230110,20230117,4,
479,ORD00000479,20230110,20230113,5,
480,ORD00000480,20230110,20230114,4,
481,ORD00000481,20230110,20230115,4,
482,ORD00000482,20230110,20230111,4,
483,ORD00000483,20230110,20230113,4,
484,ORD00000484,20230110,20230114,4,
485,ORD00000485,20230110,20230112,4,
486,ORD00000486,20230110,20230114,5,
487,ORD00000487,20230110,20230113,1,Follow-up required
488,ORD00000488,20230110,20230113,3,
489,ORD00000489,20230110,20230112,5,
490,ORD00000490,20230110,20230112,5,
491,ORD00000491,20230110,20230116,4,
492,ORD00000492,20230110,20230116,4,
493,ORD00000493,20230110,20230117,3,
494,ORD00000494,20230110,20230112,3,
495,ORD00000495,20230110,20230115,4,
496,ORD00000496,20230110,20230113,4,
497,ORD00000497,20230110,20230111,4,
498,ORD00000498,20230110,20230115,2,Follow-up required
499,ORD00000499,20230110,20230113,5,
500,ORD00000500,20230110,20230117,5,
501,ORD00000501,20230110,20230114,4,
502,ORD00000502,20230110,20230117,4,
503,ORD00000503,20230110,20230112,3,
504,ORD00000504,20230110,20230114,5,
505,ORD00000505,20230110,20230116,4,
506,ORD00000506,20230110,20230111,3,
507,ORD00000507,20230110,20230117,5,
508,ORD00000508,20230110,20230115,5,
509,ORD00000509,20230110,20230114,5,
510,ORD00000510,20230110,20230111,5,
511,ORD00000511,20230110,20230114,4,
512,ORD00000512,20230110,20230116,4,
513,ORD00000513,20230110,20230113,5,
514,ORD00000514,20230110,20230116,5,
515,ORD00000515,20230110,20230114,1,Follow-up required
516,ORD00000516,20230110,20230116,1,Follow-up required
517,ORD00000517,20230110,20230112,4,
518,ORD00000518,20230110,20230112,5,
519,ORD00000519,20230110,20230113,5,
520,ORD00000520,20230110,20230116,3,
521,ORD00000521,20230110,20230115,4,
522,ORD00000522,20230110,20230112,4,
523,ORD00000523,20230110,20230114,5,
524,ORD00000524,20230110,20230112,5,
525,ORD00000525,20230110,20230116,5,
526,ORD00000526,20230110,20230113,4,
527,ORD00000527,20230110,20230116,4,
528,ORD00000528,20230110,20230116,3,
529,ORD00000529,20230111,20230116,2,Follow-up required
530,ORD00000530,20230111,20230117,5,
531,ORD00000531,20230111,20230117,5,
532,ORD00000532,20230111,20230114,5,
533,ORD00000533,20230111,20230115,5,
534,ORD00000534,20230111,20230113,4,
535,ORD00000535,20230111,20230115,5,
536,ORD00000536,20230111,20230113,5,
537,ORD00000537,20230111,20230113,5,
538,ORD00000538,20230111,20230112,3,
539,ORD00000539,20230111,20230117,4,
540,ORD00000540,20230111,20230118,2,Follow-up required
541,ORD00000541,20230111,20230114,5,
542,ORD00000542,20230111,20230112,4,
543,ORD00000543,20230111,20230117,3,
544,ORD00000544,20230111,20230115,4,
545,ORD00000545,20230111,20230115,4,
546,ORD00000546,20230111,20230116,4,
547,ORD00000547,20230111,20230117,2,Follow-up required
548,ORD00000548,20230111,20230118,4,
549,ORD00000549,20230111,20230113,4,
550,ORD00000550,20230111,20230112,5,
551,ORD00000551,20230111,20230116,4,
552,ORD00000552,20230111,20230118,5,
553,ORD00000553,20230111,20230112,4,
554,ORD00000554,20230111,20230118,4,
555,ORD00000555,20230111,20230118,5,
556,ORD00000556,20230111,20230115,4,
557,ORD00000557,20230111,20230116,2,Follow-up required
558,ORD00000558,20230111,20230114,1,Follow-up required
559,ORD00000559,20230111,20230116,5,
560,ORD00000560,20230111,20230113,4,
561,ORD00000561,20230111,20230115,5,
562,ORD00000562,20230111,20230114,3,
563,ORD00000563,20230111,20230115,2,Follow-up required
564,ORD00000564,20230111,20230113,1,Follow-up required
565,ORD00000565,20230111,20230115,4,
566,ORD00000566,20230111,20230117,4,
567,ORD00000567,20230111,20230114,4,
568,ORD00000568,20230111,20230116,4,
569,ORD00000569,20230111,20230116,5,
570,ORD00000570,20230111,20230117,3,
571,ORD00000571,20230111,20230116,4,
572,ORD00000572,20230111,20230114,5,
573,ORD00000573,20230111,20230117,4,
574,ORD00000574,20230111,20230116,4,
575,ORD00000575,20230111,20230112,5,
576,ORD00000576,20230111,20230117,5,
577,ORD00000577,20230111,20230112,2,Follow-up required
578,ORD00000578,20230111,20230116,5,
579,ORD00000579,20230111,20230117,4,
580,ORD00000580,20230111,20230113,3,
581,ORD00000581,20230111,20230114,4,
582,ORD00000582,20230111,20230117,5,
583,ORD00000583,20230111,20230113,4,
584,ORD00000584,20230112,20230118,3,
585,ORD00000585,20230112,20230119,4,
586,ORD00000586,20230112,20230116,3,
587,ORD00000587,20230112,20230118,2,Follow-up required
588,ORD00000588,20230112,20230114,2,Follow-up required
589,ORD00000589,20230112,20230114,2,Follow-up required
590,ORD00000590,20230112,20230114,3,
591,ORD00000591,20230112,20230119,2,Follow-up required
592,ORD00000592,20230112,20230117,4,
593,ORD00000593,20230112,20230119,3,
594,ORD00000594,20230112,20230116,3,
595,ORD00000595,20230112,20230116,5,
596,ORD00000596,20230112,20230117,4,
597,ORD00000597,20230112,20230113,4,
598,ORD00000598,20230112,20230119,3,
599,ORD00000599,20230112,20230113,3,
600,ORD00000600,20230112,20230116,1,Follow-up required
601,ORD00000601,20230112,20230118,3,
602,ORD00000602,20230112,20230118,3,
603,ORD00000603,20230112,20230115,3,
604,ORD00000604,20230112,20230117,2,Follow-up required
605,ORD00000605,20230112,20230114,2,Follow-up required
606,ORD00000606,20230112,20230115,4,
607,ORD00000607,20230112,20230119,3,
608,ORD00000608,20230112,20230113,4,
609,ORD00000609,20230112,20230116,4,
610,ORD00000610,20230112,20230113,4,
611,ORD00000611,20230112,20230119,1,Follow-up required
612,ORD00000612,20230112,20230116,5,
613,ORD00000613,20230112,20230117,4,
614,ORD00000614,20230112,20230118,2,Follow-up required
615,ORD00000615,20230112,20230116,5,
616,ORD00000616,20230112,20230115,5,
617,ORD00000617,20230112,20230115,2,Follow-up required
618,ORD00000618,20230112,20230115,3,
619,ORD00000619,20230112,20230115,5,
620,ORD00000620,20230112,20230114,5,
621,ORD00000621,20230112,20230113,3,
622,ORD00000622,20230112,20230117,3,
623,ORD00000623,20230112,20230117,4,
624,ORD00000624,20230112,20230117,4,
625,ORD00000625,20230112,20230113,4,
626,ORD00000626,20230112,20230119,4,
627,ORD00000627,20230112,20230116,4,
628,ORD00000628,20230112,20230117,5,
629,ORD00000629,20230112,20230119,1,Follow-up required
630,ORD00000630,20230112,20230117,3,
631,ORD00000631,20230112,20230118,5,
632,ORD00000632,20230112,20230114,5,
633,ORD00000633,20230112,20230118,4,
634,ORD00000634,20230112,20230117,4,
635,ORD00000635,20230113,20230118,2,Follow-up required
636,ORD00000636,20230113,20230117,4,
637,ORD00000637,20230113,20230118,4,
638,ORD00000638,20230113,20230118,3,
639,ORD00000639,20230113,20230114,3,
640,ORD00000640,20230113,20230115,4,
641,ORD00000641,20230113,20230114,1,Follow-up required
642,ORD00000642,20230113,20230120,3,
643,ORD00000643,20230113,20230118,3,
644,ORD00000644,20230113,20230115,3,
645,ORD00000645,20230113,20230119,2,Follow-up required
646,ORD00000646,20230113,20230117,5,
647,ORD00000647,20230113,20230114,4,
648,ORD00000648,20230113,20230117,4,
649,ORD00000649,20230113,20230118,5,
650,ORD00000650,20230113,20230118,4,
651,ORD00000651,20230113,20230115,2,Follow-up required
652,ORD00000652,20230113,20230119,4,
653,ORD00000653,20230113,20230117,4,
654,ORD00000654,20230113,20230118,5,
655,ORD00000655,20230113,20230117,4,
656,ORD00000656,20230113,20230117,2,Follow-up required
657,ORD00000657,20230113,20230115,3,
658,ORD00000658,20230113,20230115,4,
659,ORD00000659,20230113,20230118,4,
660,ORD00000660,20230113,20230118,4,
